NAME,INTAKE CODE,COURSE NAME,STUDY MODE,MODULE CODE,MODULE NAME
Tara Nina,APUMP2203DSBA(BI)(PR)-ODL,MSc in Data Science and Business Analytics,Distance Learning,CT047-3-M-BDAT,Big Data Analytics and Technologies
Tara Nina,APUMP2203DSBA(BI)(PR)-ODL,MSc in Data Science and Business Analytics,Distance Learning,CT048-3-M-BIS,Business Intelligence Systems
Tara Nina,APUMP2203DSBA(BI)(PR)-ODL,MSc in Data Science and Business Analytics,Distance Learning,CT125-3-M-ODL-AML,Applied Machine Learning
Amatus Arne,APUMP2205DSBA(DE)(PR),MSc in Data Science and Business Analytics,Part time,CT047-3-M-BDAT,Big Data Analytics and Technologies
Amatus Arne,APUMP2205DSBA(DE)(PR),MSc in Data Science and Business Analytics,Part time,CT051-3-M-DM,Data Management
Sigurd Sašo,APDMP2201DSBA(DE)(PR),MSc in Data Science and Business Analytics,Part time,CT047-3-M-BDAT,Big Data Analytics and Technologies
Sigurd Sašo,APDMP2201DSBA(DE)(PR),MSc in Data Science and Business Analytics,Part time,CT048-3-M-BIS,Business Intelligence Systems
Sigurd Sašo,APDMP2201DSBA(DE)(PR),MSc in Data Science and Business Analytics,Part time,CT051-3-M-DM,Data Management
Eira Sigiheri,APDMP2105DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Eira Sigiheri,APDMP2105DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,AQ050-3-M-TSF,Time Series Analysis and Forecasting
Eira Sigiheri,APDMP2105DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,BM031-3-M-BSSMMA,"Behavioural Science, Social Media and Marketing Analytics"
Eira Sigiheri,APDMP2105DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT046-3-M-AML,Applied Machine Learning
Eira Sigiheri,APDMP2105DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT047-3-M-BDAT,Big Data Analytics and Technologies
Ruggiero Igor,APDMP2107DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,BM031-3-M-BSSMMA,"Behavioural Science, Social Media and Marketing Analytics"
Ruggiero Igor,APDMP2107DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT045-3-M-ABAV,Advanced Business Analytics and Visualisation
Ruggiero Igor,APDMP2107DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT046-3-M-AML,Applied Machine Learning
Ruggiero Igor,APDMP2107DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT047-3-M-BDAT,Big Data Analytics and Technologies
Kojo 'Uri,APUMP2203DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT047-3-M-BDAT,Big Data Analytics and Technologies
Kojo 'Uri,APUMP2203DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT048-3-M-BIS,Business Intelligence Systems
Kojo 'Uri,APUMP2203DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT051-3-M-DM,Data Management
Stephani Geertruida,APDMP2111DSBA(BI)(PR),MSc in Data Science and Business Analytics,Part time,CT046-3-M-AML,Applied Machine Learning
