NAME,INTAKE CODE,COURSE NAME,STUDY MODE,MODULE CODE,MODULE NAME
Sadie Ochoa,APUMP2203AI(PR)-ODL,MSc in Artificial Intelligence,Distance Learning,CT098-3-M-AI,Artificial Intelligence
Sadie Ochoa,APUMP2203AI(PR)-ODL,MSc in Artificial Intelligence,Distance Learning,CT048-3-M-BIS,Business Intelligence Systems
Sadie Ochoa,APUMP2203AI(PR)-ODL,MSc in Artificial Intelligence,Distance Learning,CT125-3-M-ODL-AML,Applied Machine Learning
Laurie Shaw,APUMP2205AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Laurie Shaw,APUMP2205AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Derek Sharp,APDMP2201AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Derek Sharp,APDMP2201AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Derek Sharp,APDMP2201AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Abraham Hopkins,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Abraham Hopkins,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Abraham Hopkins,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT099-3-M-CIO,Computational Intelligence Optimization
Abraham Hopkins,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Abraham Hopkins,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Shirley Villanueva,APDMP2107AI(PR),MSc in Artificial Intelligence,Part time,CT099-3-M-CIO,Computational Intelligence Optimization
Shirley Villanueva,APDMP2107AI(PR),MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Shirley Villanueva,APDMP2107AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Shirley Villanueva,APDMP2107AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Ebony Atkins,APUMP2203AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Ebony Atkins,APUMP2203AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Ebony Atkins,APUMP2203AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Ernest Duran,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Ernest Duran,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Ernest Duran,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Ernest Duran,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Kurt Montoya,APUMP2203AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Kurt Montoya,APUMP2203AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Laiba Pena,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Laiba Pena,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Laiba Pena,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Laiba Pena,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Zachery Byrne,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Zachery Byrne,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Zachery Byrne,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Zachery Byrne,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Darcie Collins,APDMP2207AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Kaya Valdez,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Kaya Valdez,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Kaya Valdez,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Kaya Valdez,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Kaya Valdez,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Kaya Valdez,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Kaya Valdez,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT101-3-M-ESKE,Expert Systems and Knowledge Engineering
Gordon Barber,APUMP21111AI-ODL,MSc in Artificial Intelligence,Distance Learning,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Gordon Barber,APUMP21111AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT097-3-M-AR,Applied Robotics
Gordon Barber,APUMP21111AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT046-3-M-AML,Applied Machine Learning
Gordon Barber,APUMP21111AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT098-3-M-AI,Artificial Intelligence
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Bill Roth,APUMP2101AI,MSc in Artificial Intelligence,Part time,CT101-3-M-ESKE,Expert Systems and Knowledge Engineering
Jacqueline Mcknight,APDMP2205AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Jacqueline Mcknight,APDMP2205AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Samuel Bush,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Samuel Bush,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT097-3-M-AR,Applied Robotics
Samuel Bush,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT046-3-M-AML,Applied Machine Learning
Samuel Bush,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT048-3-M-BIS,Business Intelligence Systems
Samuel Bush,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT052-3-M-NLP,Natural Language Processing
Samuel Bush,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT131-3-M-ODL-DM,Image Processing and Computer Vision
Hallie Grant,APUMP2207AI(PR)-ODL,MSc in Artificial Intelligence,Distance Learning,CT125-3-M-ODL-AML,Applied Machine Learning
Lukas Decker,APDMP2105AI,MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Lukas Decker,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Lukas Decker,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Lukas Decker,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Lukas Decker,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Lukas Decker,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Tabitha Glass,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Tabitha Glass,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Tabitha Glass,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Tabitha Glass,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Tabitha Glass,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT052-3-M-NLP,Natural Language Processing
Tabitha Glass,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Alistair Gibbs,APUMP2203AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT098-3-M-AI,Artificial Intelligence
Alistair Gibbs,APUMP2203AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT048-3-M-BIS,Business Intelligence Systems
Alistair Gibbs,APUMP2203AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT130-3-M-ODL-DAP,Pattern Recognition
Bartosz Mclean,APUMP2203AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT098-3-M-AI,Artificial Intelligence
Bartosz Mclean,APUMP2203AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT048-3-M-BIS,Business Intelligence Systems
Bartosz Mclean,APUMP2203AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT130-3-M-ODL-DAP,Pattern Recognition
Nadia Cervantes,APDMP2207AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Frankie Sanchez,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Frankie Sanchez,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Frankie Sanchez,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Frankie Sanchez,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Cindy Carey,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Cindy Carey,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Cindy Carey,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Cindy Carey,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Cindy Carey,APDMP2101AI,MSc in Artificial Intelligence,Part time,CT101-3-M-ESKE,Expert Systems and Knowledge Engineering
Alisa Holmes,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Alisa Holmes,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Alisa Holmes,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Alisa Holmes,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Alisa Holmes,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Alisa Holmes,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT052-3-M-NLP,Natural Language Processing
Kiara Connor,APDMP2107AI(PR),MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Kiara Connor,APDMP2107AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Kiara Connor,APDMP2107AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Cecilia Acevedo,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Cecilia Acevedo,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Cecilia Acevedo,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Cecilia Acevedo,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Sophia Shepherd,APUMP2009AI,MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Sophia Shepherd,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Dana Padilla,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Dana Padilla,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Dana Padilla,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT052-3-M-NLP,Natural Language Processing
